Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,time (seconds),generators
22,19,101,165,20,20,139,245,25,18,82,131,25,18,84,137,23,19,180,334,.000367263,2
25,20,152,253,17,13,116,197,27,16,102,160,31,17,105,164,21,17,143,251,.000322657,3
31,29,245,431,30,29,177,296,57,32,215,363,61,35,196,312,35,27,148,237,.000531892,9
34,24,122,175,34,28,238,406,45,30,204,342,44,26,163,258,28,25,191,330,.00053208,10
23,22,140,239,19,26,148,265,42,26,144,267,42,24,139,257,23,18,102,173,.000450803,2
23,22,115,193,19,25,95,151,25,20,106,182,33,26,129,220,15,16,87,146,.000348159,3
13,19,142,259,8,9,137,258,14,11,78,130,18,15,83,132,13,12,80,135,.000303763,2
27,31,170,288,20,29,132,231,81,50,266,472,98,63,342,604,39,41,252,450,.000650315,3
39,32,204,340,24,24,207,366,46,30,161,280,38,23,139,238,38,33,251,436,.000638504,3
54,45,245,389,79,81,441,734,47,22,122,176,46,23,123,177,41,31,211,361,.000783636,4
30,33,246,435,18,21,117,197,44,30,143,241,43,29,149,243,38,37,270,468,.000473564,3
41,41,195,310,18,18,71,105,30,20,115,191,26,18,100,168,30,26,166,287,.000351038,4
31,27,121,190,14,17,94,159,36,24,113,183,38,26,115,189,30,26,178,305,.000440111,3
26,18,124,197,18,11,142,249,18,9,75,114,19,11,82,139,16,8,89,147,.000278941,7
17,16,112,198,13,11,123,221,23,13,103,177,23,12,105,185,9,10,143,269,.000346753,2
25,23,119,198,12,10,45,67,33,22,105,153,35,19,110,168,19,11,55,76,.000428517,4
21,16,148,259,21,21,222,404,24,13,80,118,25,13,84,124,19,12,74,111,.000291477,3
29,24,113,175,20,24,91,144,46,34,131,227,61,39,156,275,30,25,168,293,.000523235,2
25,21,137,229,34,37,218,371,27,15,95,161,29,16,98,167,26,24,164,290,.000419314,4
27,27,130,211,36,42,228,393,50,39,165,287,42,28,129,206,45,40,280,480,.000727822,3
21,13,50,63,34,32,115,166,75,52,239,408,68,53,221,369,42,37,209,349,.000689797,5
17,12,112,192,14,16,107,187,25,13,86,138,20,10,75,125,23,13,107,181,.000379215,3
60,67,343,578,27,41,258,463,92,63,283,483,94,65,295,483,16,22,161,291,.000534822,2
61,55,406,690,28,19,78,101,42,27,149,242,43,28,150,238,41,27,98,121,.00045581,12
15,20,117,203,12,15,183,341,32,17,154,275,27,18,122,210,18,14,227,430,.00030034,3
40,46,254,430,40,40,156,240,74,48,198,296,75,50,222,333,39,43,256,449,.000580869,8
14,16,125,224,10,13,121,220,21,14,81,138,24,14,81,134,17,13,91,157,.000292043,3
30,29,142,235,20,30,168,297,30,22,121,199,29,21,104,171,22,21,154,275,.0004111,3
35,38,176,284,40,47,263,449,34,25,124,207,44,30,144,247,45,34,145,216,.000580727,4
19,15,94,155,25,33,186,332,48,26,181,316,68,36,241,424,28,21,158,277,.000394803,7
31,28,181,301,25,26,154,260,38,21,140,245,31,21,141,231,31,25,226,402,.00032145,6
25,27,130,216,34,47,178,300,28,20,89,153,40,30,131,208,27,40,208,371,.00047423,2
45,40,288,490,37,54,273,479,35,25,102,152,34,25,100,148,41,38,200,340,.0010152,4
29,28,166,278,33,40,204,347,54,32,194,313,55,34,191,303,39,31,195,320,.000597762,4
45,32,168,250,52,55,275,447,64,48,270,461,53,35,188,317,47,43,217,358,.000852653,7
