Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,time (seconds),generators
10,4,37,58,9,4,38,63,9,3,35,54,9,3,35,54,9,3,35,54,.000241172,8
21,19,90,146,19,19,75,116,13,9,59,94,13,9,66,110,13,9,66,110,.000253565,13
19,12,99,170,20,17,92,163,12,8,58,95,11,8,56,96,11,8,56,96,.000295532,12
21,13,100,165,16,10,81,132,16,9,79,128,16,9,75,119,16,9,75,119,.000356504,14
17,12,66,104,10,7,46,78,8,4,37,60,8,4,39,64,8,4,39,64,.000210024,8
12,9,61,104,10,6,50,82,10,6,46,73,10,6,43,67,10,6,43,67,.000232427,10
17,12,71,104,13,10,62,96,13,7,70,116,13,7,58,92,13,7,58,92,.000275866,12
7,5,37,65,8,8,42,75,7,3,35,61,7,3,35,61,7,3,35,61,.000239617,7
22,14,91,147,13,10,63,105,13,8,65,111,13,8,59,94,13,8,59,94,.000252968,13
14,8,62,100,9,7,53,91,9,5,56,98,9,5,57,105,9,5,57,105,.000304593,9
13,8,67,115,12,9,55,90,12,6,58,94,12,6,63,107,12,6,63,107,.000254845,10
19,12,81,137,14,9,63,103,14,8,63,103,14,8,71,124,14,8,71,124,.000294581,13
9,4,30,43,7,4,27,41,7,3,27,41,7,3,27,41,7,3,27,41,.000254339,8
10,10,47,75,10,9,45,71,10,7,44,70,10,7,44,67,10,7,44,67,.000238541,11
17,10,58,89,12,11,46,76,11,7,56,93,12,7,55,92,12,7,55,92,.000237389,12
14,12,70,129,10,11,58,108,10,7,58,108,11,7,61,112,11,7,61,112,.000296019,10
26,15,97,155,15,9,56,88,11,6,47,74,11,6,51,84,11,6,51,84,.000250562,10
17,13,82,131,11,7,58,95,11,7,58,95,11,7,62,111,11,7,62,111,.000248247,12
12,7,44,72,9,7,38,66,9,6,38,66,9,6,42,70,9,6,42,70,.000227796,9
9,7,32,45,9,9,38,58,9,5,31,44,9,5,31,44,9,5,31,44,.000280023,9
15,9,71,114,11,9,49,79,10,6,43,68,10,6,56,98,10,6,56,98,.000276178,11
21,14,61,87,15,11,48,75,11,6,40,61,11,6,40,61,11,6,40,61,.00025788,10
16,14,71,110,16,15,80,130,10,6,63,111,10,6,64,109,10,6,64,109,.000307421,10
8,5,41,68,11,6,56,97,8,4,41,68,8,4,41,68,8,4,41,68,.00021426,8
15,8,70,110,13,12,79,137,13,7,66,106,13,7,69,113,13,7,69,113,.000244564,11
12,10,45,72,6,6,35,63,6,4,33,56,6,4,36,62,6,4,36,62,.000242227,7
11,9,67,119,7,6,43,77,7,5,43,78,7,5,45,82,7,5,45,82,.000307769,9
9,5,38,62,9,6,42,69,9,4,40,66,9,4,40,66,9,4,40,66,.000291264,9
13,11,56,88,11,11,58,98,10,7,55,94,10,7,46,77,10,7,46,77,.000241741,11
16,11,74,117,12,9,60,96,11,7,50,78,11,7,45,68,11,7,45,68,.000244984,12
15,10,75,123,12,11,62,101,11,6,58,97,11,6,55,92,11,6,55,92,.000308935,11
13,7,39,52,10,7,34,48,8,4,27,38,8,4,32,49,8,4,32,49,.000285848,8
20,12,84,139,18,13,83,136,15,8,82,145,14,8,74,127,14,8,74,127,.00025689,13
25,16,67,91,10,10,39,60,9,6,41,63,10,6,45,71,10,6,45,71,.000230981,10
22,14,79,134,15,9,63,107,11,7,44,74,11,7,48,75,11,7,48,75,.00024667,11
14,9,77,129,10,4,84,155,10,4,84,155,10,4,86,161,10,4,86,161,.000315404,8
